,rain,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090625-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090625-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090625-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090626-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090626-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090626-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090626-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090626-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090627-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090627-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090627-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090627-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090627-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090628-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090628-060000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090628-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090628-070000.wav,0,sounds like a mountain lion?
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090628-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090629-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090629-060000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090629-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090629-070000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090629-073000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090630-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090630-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090630-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090630-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090630-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100601-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100601-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100601-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100601-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100601-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100602-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100602-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100602-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100602-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100602-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100603-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100603-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100603-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100603-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100603-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100604-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100604-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100604-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100604-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100604-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100605-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100605-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100605-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100605-070000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100605-073000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100606-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100606-060000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100606-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100606-070000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100606-073000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100607-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100607-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100607-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100607-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100607-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100608-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100608-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100608-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100608-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100608-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100609-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100609-060000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100609-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100609-070000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100609-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100610-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100610-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100610-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100610-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100610-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100611-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100611-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100611-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100611-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100611-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100612-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100612-060000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100612-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100612-070000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100612-073000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100613-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100613-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100613-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100613-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100613-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100614-053000.wav,0,"this day is questionable, listen to again"
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100614-060000.wav,0,sounds like a woodpecker pecking the recorder
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100614-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100614-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100614-073000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100615-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100615-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100615-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320100615-070000.wav,0,
